,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0,fft,3,0.0,256,0,0.0479041916167664,0.0322560541310541,"(256,)","(665, 72000)","(167, 72000)",mlp
1,0,fft,2,0.0,256,0,0.093103448275862,0.0739838991152016,"(256,)","(1157, 48000)","(290, 48000)",mlp
2,0,fft,1,0.0,256,0,0.1081481481481481,0.098249677917828,"(256,)","(2696, 24000)","(675, 24000)",mlp
3,0,fft,3,0.0,512,0,0.1317365269461078,0.0928323412698412,"(512,)","(665, 72000)","(167, 72000)",mlp
4,0,fft,2,0.0,512,0,0.1103448275862069,0.0937321937321937,"(512,)","(1157, 48000)","(290, 48000)",mlp
5,0,fft,1,0.0,512,0,0.1674074074074074,0.1657556088940613,"(512,)","(2696, 24000)","(675, 24000)",mlp
6,0,fft,3,0.0,1024,0,0.1317365269461078,0.0973048941798941,"(1024,)","(665, 72000)","(167, 72000)",mlp
7,0,fft,2,0.0,1024,0,0.1758620689655172,0.166383817470774,"(1024,)","(1157, 48000)","(290, 48000)",mlp
8,0,fft,1,0.0,1024,0,0.2311111111111111,0.2274944405302726,"(1024,)","(2696, 24000)","(675, 24000)",mlp
9,0,fft,3,0.0,2048,0,0.2335329341317365,0.1692460317460317,"(2048,)","(665, 72000)","(167, 72000)",mlp
10,0,fft,2,0.0,2048,0,0.2241379310344827,0.2107124068061568,"(2048,)","(1157, 48000)","(290, 48000)",mlp
11,0,fft,1,0.0,2048,0,0.3037037037037037,0.2981548016576074,"(2048,)","(2696, 24000)","(675, 24000)",mlp
